NORAD_CAT_ID,DATE,MEAN_MOTION,ECCENTRICITY,BSTAR,A_KM,HP_KM,HA_KM
25544,2021-10-17,15.48732973,0.0004029,0.00013913,6798.5685074317935,417.6923641801495,423.1706506834389
25544,2021-10-18,15.48733573,0.0004215,9.1996e-05,6798.566751527727,417.5641556419587,423.29534741349744
25544,2021-10-19,15.48743137,0.0004166,9.2733e-05,6798.5387625699805,417.56949132149384,423.23403381846765
25544,2021-10-20,15.48766553,0.0004176,0.00057725,6798.470237078084,417.4941959070802,423.1722782490888
25544,2021-10-21,15.487619,0.0004201,9.223e-05,6798.48385366054,417.4908105936174,423.20289672746276
25544,2021-10-22,15.48773057,0.0004166,9.6258e-05,6798.451203826282,417.48196905476834,423.146438597797
25544,2021-10-23,15.4878333,0.0004389,9.5648e-05,6798.42114127543,417.3003142365251,423.26796831433603
25544,2021-10-24,15.48788699,0.0004404,8.2553e-05,6798.405429752302,417.2744120010393,423.26244750356454
25544,2021-10-25,15.48789191,0.0003917,5.5366e-05,6798.403989997226,417.6040551543447,422.92992484010756
25544,2021-10-26,15.48794837,0.0003884,5.403e-05,6798.3874679843975,417.60997429183317,422.89096167696334
25544,2021-10-27,15.48806549,0.0003881,7.0218e-05,6798.353195223681,417.5777543486147,422.8546360987466
25544,2021-10-28,15.48823231,0.0003708,0.00010082,6798.304379525276,417.64656826134797,422.6881907892048
25544,2021-10-29,15.48838565,0.0003902,0.00011454,6798.259509184483,417.46982832399954,422.77519004496753
25544,2021-10-30,15.48849487,0.0003806,0.00011096,6798.227549686698,417.50314428128786,422.6779550921083
25544,2021-10-31,15.48863138,0.0003836,0.00011259,6798.187605231817,417.44282046645003,422.6583899971838
25544,2021-11-01,15.48885298,0.0003668,0.00013472,6798.122763676946,417.4922122472299,422.4793151066624
25544,2021-11-02,15.48898922,0.00037,0.00014525,6798.08289976287,417.4306090899581,422.46119043578165
25544,2021-11-03,15.48916784,0.0003598,0.00013664,6798.030636318122,417.44770489517487,422.339567741069
25544,2021-11-04,15.48930014,0.0003559,0.00014191,6797.9919265539465,417.4355212272867,422.27433188060695
25544,2021-11-05,15.48952014,0.0003544,0.00014744,6797.927557795774,417.3813722692921,422.19974332225684
25544,2021-11-06,15.48967184,0.0003434,0.00014611,6797.8831734987425,417.41178041696367,422.0805665805219
25544,2021-11-07,15.48965937,0.0003349,3.2754e-05,6797.8868219367005,417.47320964003393,422.0264342333667
25544,2021-11-08,15.48977312,0.0003225,7.8236e-05,6797.853541459041,417.52423369192,421.9088492261617
25544,2021-11-09,15.48988722,0.0003156,8.9073e-05,6797.820158989119,417.5377669469426,421.8285510312953
25544,2021-11-10,15.48990577,0.0003075,6.5216e-05,6797.814731816482,417.5874037864487,421.7680598465149
25544,2021-11-11,15.48555663,0.0005295,-0.00063221,6799.087456027095,417.3503392191287,424.55057283506176
25544,2021-11-12,15.48561988,0.0004795,-5.8132e-05,6799.06894239627,417.6717888383919,424.1920959541494
25544,2021-11-13,15.4857879,0.0004893,8.3389e-05,6799.019762609105,417.5560022392601,424.2095229789493
25544,2021-11-14,15.4857025,0.0004453,0.0,6799.044759247307,417.88014461601506,423.93537387860033
25544,2021-11-15,15.48581038,0.0004574,3.9549e-05,6799.013182735983,417.7663141061994,423.9860513657659
25544,2021-11-16,15.48583252,0.000468,3.1719e-05,6799.006702396075,417.6877672593537,424.0516375327961
25544,2021-11-17,15.48589178,0.000469,3.8729e-05,6798.9893571720095,417.66363116349567,424.04108318052386
25544,2021-11-18,15.48593254,0.0004684,3.8829e-05,6798.977426906608,417.6557858798451,424.02506793337125
25544,2021-11-19,15.48607099,0.0004539,0.00016396,6798.936903616229,417.71386615567735,423.88594107678
25544,2021-11-20,15.4860673,0.0004647,6.0313e-05,6798.937983644088,417.6415171630888,423.96045012508694
25544,2021-11-21,15.48613392,0.0004614,5.8579e-05,6798.918484670552,417.64446368172594,423.91850565937966
25544,2021-11-22,15.48603152,0.0004907,-0.00053345,6798.948456131593,417.47521212416996,424.1477001390176
25544,2021-11-23,15.48631502,0.0004207,0.0001085,6798.86547931127,417.868196604124,423.5887620184167
25544,2021-11-24,15.48638556,0.0004347,7.1726e-05,6798.844833549733,417.75237570058925,423.66329139887785
25544,2021-11-25,15.48649632,0.0004459,8.2116e-05,6798.812416449663,417.6438259931683,423.7070069061592
25544,2021-11-26,15.48680041,0.000422,0.00017925,6798.723417750602,417.71735646831075,423.4554790328921
25544,2021-11-27,15.48689216,0.0004324,0.00013813,6798.696565645263,417.6198092502782,423.49932204024844
25544,2021-11-28,15.4870353,0.0004409,0.00013663,6798.654673963752,417.52014711800257,423.51520080950377
25544,2021-11-29,15.48704023,0.0004305,0.00010322,6798.653231150112,417.5894109341025,423.44305136612275
25544,2021-11-30,15.48711525,0.0004274,9.9898e-05,6798.631275893805,417.58854088648786,423.4000109011222
25544,2021-12-01,15.48724937,0.0004368,8.6314e-05,6798.5920249495375,417.48539995303963,423.42464994603506
25544,2021-12-02,15.48732282,0.0004362,8.5987e-05,6798.5705296493825,417.4679931843493,423.3990661144162
25544,2021-12-03,15.4891362,0.0004179,1.965e-05,6798.039893973007,417.06199310131615,422.74379484469773
25544,2021-12-04,15.48931768,0.0004107,7.9862e-05,6797.986794552509,417.05786137598716,422.641727729032
25544,2021-12-05,15.48936654,0.0004103,6.062e-05,6797.972498731843,417.04629061561354,422.6247068480734
25544,2021-12-06,15.48944303,0.0003756,6.1141e-05,6797.950118872074,417.25980880742554,422.3664289367225
25544,2021-12-07,15.48941742,0.0004019,3.5357e-06,6797.957611964502,417.08851280025374,422.55271112875016
25544,2021-12-08,15.48950917,0.000416,4.5876e-05,6797.93076742003,416.9658282207838,422.62170661927667
25544,2021-12-09,15.48949833,0.0004414,1.0791e-05,6797.93393901235,416.7963309716697,422.7975470530291
25544,2021-12-10,15.48956096,0.0004128,3.4444e-05,6797.91561463287,416.9724350671495,422.5847941985912
25544,2021-12-11,15.48957922,0.0004037,3.0117e-05,6797.910272117891,417.02895574103695,422.5175884947439
25544,2021-12-12,15.48958608,0.0004129,1.9764e-05,6797.908265020233,416.9644086976059,422.57812134285905
25544,2021-12-13,15.48964861,0.0004246,4.0985e-05,6797.889970071543,416.8665859902512,422.63935415283595
25544,2021-12-14,15.48967216,0.0004408,3.155e-05,6797.883079874096,416.7495730124883,422.7425867357051
25544,2021-12-15,15.48970867,0.0004198,3.303e-05,6797.872397908238,416.8816510755969,422.5891447408794
25544,2021-12-16,15.48973774,0.0004218,3.3102e-05,6797.8638927411075,416.8595537511492,422.59423173106643
25544,2021-12-17,15.48986847,0.0004235,5.3118e-05,6797.825644686755,416.8097655262309,422.5675238472795
25544,2021-12-18,15.49012988,0.0005481,0.00020587,6797.7491648201685,415.8863185029304,423.3380111374072
25544,2021-12-19,15.49024968,0.0004312,0.00070007,6797.714116045769,416.64594171892986,422.5082903726079
25544,2021-12-20,15.49019445,0.0004445,0.00011135,6797.730274118271,416.5716830114261,422.6148652251168
25544,2021-12-21,15.49039404,0.0004345,0.00014965,6797.671882580242,416.58129414726136,422.4884710132228
25544,2021-12-22,15.49053961,0.0004571,0.00013579,6797.6292957855185,416.3850994344157,422.59949213662185
25544,2021-12-23,15.49071438,0.0004441,0.00014651,6797.578167353487,416.422362889366,422.45997181760777
25544,2021-12-24,15.49764044,0.0004662,0.0012448,6795.552743250519,414.24765656161617,420.5838299394218
25544,2021-12-25,15.4976249,0.0004641,0.00073127,6795.5572860056245,414.2664678691899,420.5741041420606
25544,2021-12-26,15.49764766,0.0004916,6.4377e-06,6795.5506326551695,414.0729399641559,420.75432534618267
25544,2021-12-27,15.49769629,0.0004625,-0.00010259,6795.536416873506,414.25648128070225,420.54235246631015
25544,2021-12-28,15.4977919,0.0004685,0.00011072,6795.508467863779,414.1877721465844,420.5551635809734
25544,2021-12-29,15.49793313,0.0004699,0.00011638,6795.467183600881,414.13699357130736,420.52337363045444
25544,2021-12-30,15.49810088,0.0004822,0.00012628,6795.418147843303,414.0043972124131,420.5578984741933
25544,2021-12-31,15.49821812,0.0004868,0.00012092,6795.383877416343,413.9388845448175,420.55487028786956
25544,2022-01-01,15.49844104,0.0005411,0.00030574,6795.31871685809,413.50476990039806,420.85866381578217
